dataset,video,video_id,video_tag,method,qp,bytes,bitstream_path,bitstream_sha256,real_rans
uvg,HoneyBee,2,uvg_02,beta_mid,3,47273,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_mid_qp3.bin,7f81154cfdc8e29623a13a48e09c780b574c3bd5bc2a213289daf3e334e4a67d,True
uvg,HoneyBee,2,uvg_02,beta_high,0,19217,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_high_qp0.bin,5f57ed6c627039de887986f725192f9741d4699f94111913499fa4a66f202f3b,True
uvg,HoneyBee,2,uvg_02,beta_high,1,24928,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_high_qp1.bin,d721b022fba4976a30561eac79153f4f7289a96a315dd28e966ad47038a7f3cb,True
uvg,HoneyBee,2,uvg_02,beta_high,2,31985,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_high_qp2.bin,ad166e9da3b3c888674b7ab915d9c5401d350528049636530348b9fc5c759f78,True
uvg,HoneyBee,2,uvg_02,beta_high,3,41812,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_high_qp3.bin,52a6570bd95dd3c9c06269d4637dc84c93bc3f4f0438211a2eefa4cdf2c06362,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,47024,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp0.bin,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,1,57653,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp1.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,2,76829,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp2.bin,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,3,96549,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,stage_a,0,48363,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/stage_a_qp0.bin,6665602e437441ad35ccf19da4b266ffa559c1b8c6eaa9ef2cd55aa8511bb546,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,stage_a,1,59357,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/stage_a_qp1.bin,7073fed7c8c4d65b68ffc2430144699c856fc7cbad8dfc8c7e54d4fac166a45d,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,stage_a,2,78465,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/stage_a_qp2.bin,eb0056d2869df60b473921d133c98deb85c15c86d7988e05f847bb9a30531c74,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,stage_a,3,98301,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/stage_a_qp3.bin,e58dc5d821523d7cbd0df80fbef9d8a721f0f58242ea5cda485723043ee37151,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,0,43541,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp0.bin,1c9a7daad0933d12618c623f1e1b0d97911012926d2e0aaac8bbbfc3301abc21,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,1,54841,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp1.bin,661d56271a2a63990224baed748517f7497295cc9ea657ad820c33f9cd5d64d6,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,2,70972,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp2.bin,02c1472e2c2e734adc15e1b875465774a2c7160fa90183a0d040cdc600afd9ce,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,3,88562,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp3.bin,400bedffe876f055205cf901b6403f8822ea887bd39a9b6f54e37c5ada4893c4,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_mid,0,35908,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_mid_qp0.bin,72ea204b7029e610f0cd546f9b982ac276e813d087659abe3d039f2974758123,True
