method,qp,position,num_P_frames,frame_index_min,frame_index_max,mean_real_bits,mean_LPIPS,mean_DISTS,position_definition,bits_definition
original,1,7,8,7,7,5827.0,0.15232290234416723,0.09306609630584717,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,8,8,8,8,3265.0,0.16254354827106,0.09899460524320602,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,9,8,9,9,8071.0,0.15301476698368788,0.09373001009225845,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,10,8,10,10,2170.0,0.1664626905694604,0.10016888380050659,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,11,8,11,11,3159.0,0.16540623921900988,0.10059849917888641,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,12,8,12,12,3926.0,0.17158209439367056,0.10326262563467026,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,13,8,13,13,4339.0,0.16421484015882015,0.1037774384021759,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,14,8,14,14,3054.0,0.17323198914527893,0.10386243462562561,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,15,8,15,15,3552.0,0.16917224135249853,0.10419690608978271,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,16,8,16,16,5120.0,0.1713592503219843,0.10517748445272446,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,17,8,17,17,9347.0,0.15813002921640873,0.10168784111738205,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,18,8,18,18,2387.0,0.1685022795572877,0.10382464528083801,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,19,8,19,19,2558.0,0.1690143272280693,0.10547922551631927,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,20,8,20,20,7385.0,0.16844898276031017,0.10364168137311935,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,21,8,21,21,5052.0,0.16322810389101505,0.10306873917579651,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,22,8,22,22,2965.0,0.1698340754956007,0.10309324413537979,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,23,8,23,23,3400.0,0.16666086111217737,0.10487349331378937,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,24,8,24,24,7521.0,0.16514847613871098,0.10640566051006317,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,25,8,25,25,10262.0,0.14974893350154161,0.10077102482318878,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,26,8,26,26,2302.0,0.16020480077713728,0.10475393384695053,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,27,8,27,27,2635.0,0.15944584179669619,0.10387542843818665,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,28,8,28,28,8130.0,0.15496900118887424,0.10567206144332886,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,29,8,29,29,5064.0,0.1497465753927827,0.10440722852945328,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,30,8,30,30,2415.0,0.15779557917267084,0.10596277564764023,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,31,8,31,31,2711.0,0.15363837219774723,0.10664330422878265,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,32,8,32,32,6422.0,0.1554152686148882,0.10592237114906311,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,33,8,33,33,8234.0,0.14330620132386684,0.1032533049583435,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,34,8,34,34,1865.0,0.15304214879870415,0.10450741648674011,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,35,8,35,35,2035.0,0.15329643618315458,0.10678505897521973,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,36,8,36,36,7224.0,0.15257532987743616,0.10812826454639435,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,37,8,37,37,4098.0,0.14715080335736275,0.10569071769714355,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,38,8,38,38,1825.0,0.15449940040707588,0.10755012929439545,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,39,8,39,39,2015.0,0.1522439206019044,0.11024292558431625,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,40,8,40,40,6147.0,0.15292294137179852,0.11056570708751678,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,41,8,41,41,7009.0,0.14341591857373714,0.10779377073049545,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,42,8,42,42,1544.0,0.1532870065420866,0.10862086713314056,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,43,8,43,43,1652.0,0.15332528296858072,0.11016934365034103,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,44,8,44,44,6910.0,0.15139486640691757,0.11000743508338928,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,45,8,45,45,4117.0,0.14732429012656212,0.10885263234376907,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,46,8,46,46,1667.0,0.15331523399800062,0.111672542989254,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,47,8,47,47,1909.0,0.1515255318954587,0.10975324362516403,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,48,8,48,48,6128.0,0.15093965083360672,0.11124320328235626,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,49,8,49,49,7612.0,0.1420979993417859,0.10591165721416473,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,50,8,50,50,1387.0,0.15145881287753582,0.1072864979505539,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,51,8,51,51,1544.0,0.15185087453573942,0.11057230085134506,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,52,8,52,52,7514.0,0.14969860669225454,0.11035765707492828,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,53,8,53,53,4189.0,0.14820567797869444,0.11063652485609055,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,54,8,54,54,1557.0,0.1523646479472518,0.11175043880939484,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,55,8,55,55,1548.0,0.1518623623996973,0.11179240047931671,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,56,8,56,56,6027.0,0.151218356564641,0.11594264954328537,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,57,8,57,57,6946.0,0.14453183859586716,0.11152083426713943,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,58,8,58,58,1242.0,0.15146124549210072,0.11859507113695145,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,59,8,59,59,1259.0,0.15104301366955042,0.12031038105487823,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,60,8,60,60,7239.0,0.14975079894065857,0.11846547573804855,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,61,8,61,61,3563.0,0.1465376503765583,0.11618568748235703,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
