dataset,video,video_id,qp,frame,round,edit_type,symbol_family_1,symbol_index_1,old_value_1,new_value_1,symbol_family_2,symbol_index_2,old_value_2,new_value_2,frame_bytes_before,frame_bytes_after,delta_frame_bytes,cumulative_bytes_after,baseline_cumulative_bytes,budget_bank,RGB_MSE_before,RGB_MSE_after,PSNR_before,PSNR_after,LPIPS_before,LPIPS_after,DISTS_before,DISTS_after
uvg,Bosphorus,1,3,1,0,pair,w0,24495,-1,0,w0,24503,0,-1,4558,4558,0,10731,10731,0,0.0008035865612328053,0.0008035336504690349,30.949673347799834,30.949959310885603,0.13879719376564026,0.13879276812076569,0.11910533905029297,0.11910361051559448
uvg,Bosphorus,1,3,1,1,pair,w0,24503,-1,0,w1,24488,0,-1,4558,4558,0,10731,10731,0,0.0008035336504690349,0.0008033948834054172,30.949959310885603,30.950709384941526,0.13879276812076569,0.13879114389419556,0.11910361051559448,0.11910152435302734
uvg,Bosphorus,1,3,1,2,single,w0,24493,0,-1,,,,,4558,4558,0,10731,10731,0,0.0008033948834054172,0.0008027342846617103,30.950709384941526,30.95428187974488,0.13879114389419556,0.1387210190296173,0.11910152435302734,0.11906570196151733
uvg,HoneyBee,2,1,1,0,single,w1,24512,1,0,,,,,5114,5114,0,10156,10156,0,0.0009885599138215184,0.0009864154271781445,30.04997004191935,30.05940144151633,0.15680626034736633,0.15679918229579926,0.11996328830718994,0.11994004249572754
uvg,HoneyBee,2,1,1,1,single,w1,24570,0,-1,,,,,5114,5114,0,10156,10156,0,0.0009864154271781445,0.0009854447562247515,30.05940144151633,30.063677171371836,0.15679918229579926,0.15679150819778442,0.11994004249572754,0.1199294924736023
uvg,HoneyBee,2,1,1,2,single,w0,24493,1,0,,,,,5114,5114,0,10156,10156,0,0.0009854447562247515,0.0009852040093392134,30.063677171371836,30.064738294452432,0.15679150819778442,0.1567591428756714,0.1199294924736023,0.1199149489402771
uvg,HoneyBee,2,1,1,3,single,w1,24548,0,-1,,,,,5114,5114,0,10156,10156,0,0.0009852040093392134,0.000983934965915978,30.064738294452432,30.07033605712165,0.1567591428756714,0.15678617358207703,0.1199149489402771,0.11995112895965576
uvg,HoneyBee,2,3,1,0,single,w1,24570,0,-1,,,,,5636,5636,0,13720,13720,0,0.0007744643953628838,0.0007733837701380253,31.109985433700615,31.11604946063646,0.11719700694084167,0.11719593405723572,0.10841268301010132,0.10840529203414917
uvg,HoneyBee,2,3,2,0,single,w1,24556,0,-1,,,,,1503,1503,0,15227,15227,0,0.0008192512323148549,0.0008168438216671348,30.865828966808458,30.87860971462627,0.11136681586503983,0.111323282122612,0.11000853776931763,0.10995745658874512
uvg,HoneyBee,2,3,3,0,single,w1,24556,1,0,,,,,681,680,-1,15911,15911,0,0.000813024234957993,0.0008126862230710685,30.898965085859373,30.9007710249022,0.11107852309942245,0.11108316481113434,0.11243420839309692,0.11241334676742554
uvg,HoneyBee,2,3,3,1,single,w0,24541,0,-1,,,,,680,680,0,15911,15911,0,0.0008126862230710685,0.0008104898734018207,30.9007710249022,30.91252407037779,0.11108316481113434,0.11108922213315964,0.11241334676742554,0.11243587732315063
uvg,HoneyBee,2,3,4,0,single,z,12,0,-1,,,,,752,754,2,16669,16671,2,0.0007814879063516855,0.0007803562912158668,31.07077738368234,31.0770706400249,0.10898745059967041,0.10896871984004974,0.11277395486831665,0.1127328872680664
uvg,HoneyBee,2,3,4,1,single,w0,24531,0,-1,,,,,754,755,1,16670,16671,1,0.0007803562912158668,0.0007802233449183404,31.0770706400249,31.077810593849847,0.10896871984004974,0.10895859450101852,0.1127328872680664,0.11273878812789917
uvg,HoneyBee,2,3,4,2,single,w1,24492,0,1,,,,,755,756,1,16671,16671,0,0.0007802233449183404,0.0007796990103088319,31.077810593849847,31.080730170396635,0.10895859450101852,0.10897599905729294,0.11273878812789917,0.11275708675384521
uvg,HoneyBee,2,3,4,3,single,w0,24525,0,-1,,,,,756,756,0,16671,16671,0,0.0007796990103088319,0.0007794586708769202,31.080730170396635,31.082069073974495,0.10897599905729294,0.10895489156246185,0.11275708675384521,0.11276078224182129
