sample,initialization,objective,step,psnr,lpips,ms_ssim,relative_delta_l2,psnr_minus_BASE_ONLY_C,lpips_minus_BASE_ONLY_C,dominates_BASE_ONLY_C,psnr_minus_REFERENCE_FP32,lpips_minus_REFERENCE_FP32,dominates_REFERENCE_FP32,psnr_minus_ORIGINAL_FP16,lpips_minus_ORIGINAL_FP16,dominates_ORIGINAL_FP16
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_LPIPS,50.0,19.019126308445895,0.3361847996711731,0.8184482193159734,0.09313387241032843,0.5856791639791723,-0.03159865736961365,True,2.744121489181282,0.10542766749858856,False,2.7441382001983676,0.10542546212673187,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_LPIPS,100.0,19.54410795684911,0.30001115798950195,0.8476938705369889,0.16973218262874626,1.1106608123823882,-0.06777229905128479,True,3.269103137584498,0.06925402581691742,False,3.2691198486015836,0.06925182044506073,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_LPIPS,150.0,20.023840001151765,0.2697720527648926,0.870163815891346,0.2376969362059711,1.5903928566850425,-0.09801140427589417,True,3.748835181887152,0.039014920592308044,False,3.748851892904238,0.039012715220451355,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_ONLY,0.0,16.04397927307642,0.227483332157135,0.77127494878029,0.0,-2.3239648965627886,-0.1504855453968048,False,0.0,0.0,False,8.8096476499544e-05,-7.331371307373047e-06,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_ONLY,25.0,16.934917003609833,0.2253924161195755,0.7900627539870717,0.057969059779316844,-1.433027166029376,-0.15257646143436432,False,0.8909377305334125,-0.0020909160375595093,True,0.8910258270099121,-0.0020982474088668823,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_ONLY,50.0,17.62867119582721,0.2279614359140396,0.8038578643171469,0.10652764480055163,-0.7392729738119996,-0.1500074416399002,False,1.584691922750789,0.00047810375690460205,False,1.5847800192272885,0.000470772385597229,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_ONLY,100.0,18.520008057522965,0.2341451793909073,0.8239878682065053,0.17714921764770153,0.1520638878837559,-0.14382369816303253,True,2.4760287844465445,0.006661847233772278,False,2.476116880923044,0.006654515862464905,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_ONLY,150.0,19.067311898744986,0.23723971843719482,0.8403324219772563,0.22537519301645326,0.6993677291057772,-0.140729159116745,True,3.0233326256685658,0.009756386280059814,False,3.0234207221450653,0.009749054908752441,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_LPIPS,0.0,16.04397927307642,0.227483332157135,0.77127494878029,0.0,-2.3239648965627886,-0.1504855453968048,False,0.0,0.0,False,8.8096476499544e-05,-7.331371307373047e-06,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_LPIPS,25.0,16.934339713237968,0.22260695695877075,0.7900991838961184,0.05794283458935918,-1.4336044564012411,-0.15536192059516907,False,0.8903604401615475,-0.004876375198364258,True,0.890448536638047,-0.004883706569671631,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_LPIPS,50.0,17.627447574578035,0.22255435585975647,0.8039534318500415,0.10639893874004744,-0.7404965950611739,-0.15541452169418335,False,1.5834683015016147,-0.00492897629737854,True,1.5835563979781142,-0.004936307668685913,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_LPIPS,100.0,18.518945770025866,0.22261205315589905,0.8242999838860476,0.1767505130975382,0.15100160038665678,-0.15535682439804077,True,2.4749664969494454,-0.004871279001235962,True,2.475054593425945,-0.004878610372543335,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ORIGINAL_START,MSE_LPIPS,150.0,19.067133685520613,0.2197556048631668,0.8408227873166695,0.2247264208050147,0.6991895158814039,-0.158213272690773,True,3.0231544124441925,-0.007727727293968201,True,3.023242508920692,-0.007735058665275574,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ZERO_START,MSE_ONLY,0.0,18.327745925756183,0.37969109416007996,0.7837258139076623,0.0,-0.04019824388302595,0.0017222166061401367,False,2.2837666526797626,0.15220776200294495,False,2.283854749156262,0.15220043063163757,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ZERO_START,MSE_ONLY,25.0,18.636049680201985,0.3733035922050476,0.8016073619629513,0.04938138235343995,0.2681055105627763,-0.004665285348892212,True,2.592070407125565,0.1458202600479126,False,2.5921585036020645,0.14581292867660522,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ZERO_START,MSE_ONLY,50.0,18.907080537581244,0.36180511116981506,0.8183631913228121,0.0910659999366111,0.5391363679420351,-0.016163766384124756,True,2.8631012645048237,0.13432177901268005,False,2.8631893609813233,0.13431444764137268,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ZERO_START,MSE_ONLY,100.0,19.41156993952068,0.33530277013778687,0.8470070884544652,0.16703987345594443,1.0436257698814728,-0.042666107416152954,True,3.3675906664442614,0.10781943798065186,False,3.367678762920761,0.10781210660934448,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ZERO_START,MSE_ONLY,150.0,19.878188145292512,0.3112247586250305,0.8695599561210606,0.23539485439454236,1.510243975653303,-0.0667441189289093,True,3.8342088722160916,0.08374142646789551,False,3.834296968692591,0.08373409509658813,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,ZERO_START,MSE_LPIPS,0.0,18.327745925756183,0.37969109416007996,0.7837258139076623,0.0,-0.04019824388302595,0.0017222166061401367,False,2.2837666526797626,0.15220776200294495,False,2.283854749156262,0.15220043063163757,False
