dataset,video,video_id,qp,trajectory,granularity,total_actual_bytes,bpp,kbps,MSE,PSNR,MS_SSIM,LPIPS,DISTS
uvg,Beauty,0,3,uvg_00_qp3_G4_T5569,G4,40921,0.0024667848186728397,613.815,0.001555623282911256,28.09025202327787,0.9788243407383561,0.13003461761400104,0.1327629964798689
uvg,Beauty,0,3,uvg_00_qp3_G8_T5580,G8,40935,0.002467628761574074,614.025,0.001553796684675035,28.095396260795745,0.9787948606535792,0.1307463450357318,0.13363786414265633
uvg,Bosphorus,1,1,baseline,BASELINE,30994,0.0018683690200617285,464.91,0.0008182345518434886,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573
uvg,Bosphorus,1,1,uniform_2x,GLOBAL,31982,0.0019279272762345678,479.73,0.0008376720516025671,30.77496099531802,0.9523679614067078,0.16241077915765345,0.13913265336304903
uvg,Bosphorus,1,1,uniform_4x,GLOBAL,31929,0.001924732349537037,478.935,0.000841561118249956,30.754857661372792,0.9521135464310646,0.16212995117530227,0.1397468689829111
uvg,Bosphorus,1,1,random_G8_20pct,G8,33927,0.00204517505787037,508.905,0.0008186554960047943,30.87539101163184,0.953353688120842,0.15922566084191203,0.13669864367693663
uvg,Bosphorus,1,1,random_G8_35pct,G8,34022,0.002050901813271605,510.33,0.0008214446306737955,30.86065960605601,0.9532230030745268,0.15996974520385265,0.13732619490474463
uvg,Bosphorus,1,1,random_G8_50pct,G8,33865,0.0020414375964506173,507.975,0.0008209759016608587,30.86310900386534,0.9531416343525052,0.1592766132671386,0.13719886727631092
uvg,Bosphorus,1,3,baseline,BASELINE,51949,0.003131570698302469,779.235,0.0007133777671697317,31.472206806681417,0.9598000217229128,0.12848799442872405,0.1171071631833911
uvg,Bosphorus,1,3,uniform_2x,GLOBAL,51475,0.0031029972029320988,772.125,0.0007320209897443419,31.360705371349397,0.958704549819231,0.13183656055480242,0.12115009780973196
uvg,Bosphorus,1,3,uniform_4x,GLOBAL,51353,0.0030956428433641975,770.295,0.0007355587722486234,31.340761008001802,0.958522466942668,0.13234114437364042,0.12138371169567108
uvg,Bosphorus,1,3,random_G8_20pct,G8,54837,0.0033056640625,822.555,0.0007188728441178682,31.439680274317524,0.9595404397696257,0.1287579583004117,0.11754624079912901
uvg,Bosphorus,1,3,random_G8_35pct,G8,54562,0.003289086612654321,818.43,0.0007155526709539117,31.45902671881054,0.9596460564061999,0.12918753258418292,0.11795445252209902
uvg,Bosphorus,1,3,random_G8_50pct,G8,54223,0.003268651138117284,813.345,0.0007232932093756972,31.412891433215847,0.9592467015609145,0.12996586132794619,0.11844224762171507
uvg,HoneyBee,2,1,baseline,BASELINE,28168,0.0016980131172839505,422.52,0.001058113399267313,29.7708103550545,0.9727460807189345,0.15386110451072454,0.12848099041730165
uvg,HoneyBee,2,1,uniform_2x,GLOBAL,27831,0.0016776982060185185,417.465,0.0011639311032922706,29.354336798733602,0.969733408652246,0.16347967111505568,0.13508747424930334
uvg,HoneyBee,2,1,uniform_4x,GLOBAL,27780,0.0016746238425925926,416.7,0.0011716853823600104,29.326648875109534,0.9696627603843808,0.1639254419133067,0.1346430080011487
uvg,HoneyBee,2,1,random_G8_20pct,G8,30919,0.0018638478973765432,463.785,0.0010715949019868276,29.715669368344834,0.9724158588796854,0.15496398764662445,0.1289558494463563
uvg,HoneyBee,2,1,random_G8_35pct,G8,30981,0.0018675853587962962,464.715,0.001067362520188908,29.732710019356734,0.9724640995264053,0.15481844288296998,0.12932114209979773
