dataset,video,video_id,qp,granularity,target_rate_ratio,baseline_bytes,target_bytes,selected_bytes,selected_rate_ratio,selection_type,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,modified_frames,total_tiles,number_1x_tiles,number_2x_tiles,PSNR,MS_SSIM,LPIPS,DISTS,decode_audit_pass,bitstream_path,bitstream_sha256
uvg,Bosphorus,1,1,G4,0.95,30994,29444,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G4,0.9,30994,27894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G8,0.99,30994,30684,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G8,0.975,30994,30219,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G8,0.95,30994,29444,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G8,0.9,30994,27894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G16,0.99,30994,30684,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G16,0.975,30994,30219,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G16,0.95,30994,29444,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G16,0.9,30994,27894,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G4,0.99,51949,51429,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G4,0.975,51949,50650,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G4,0.95,51949,49351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G4,0.9,51949,46754,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G8,0.99,51949,51429,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G8,0.975,51949,50650,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G8,0.95,51949,49351,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,3,G8,0.9,51949,46754,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
