candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent
v3_beta_low,beta_low,fresh_ulong_10,DISTS,3,190.52322677322678,0.07219147309660912,2,163.0631868131868,0.07114601507782936,14.412961834162463
v3_beta_low,beta_low,fresh_ulong_100,LPIPS,0,73.7625,0.2573277484625578,1,102.01125,0.23583866865374148,-38.29689883070666
v3_beta_low,beta_low,fresh_ulong_100,DISTS,0,73.7625,0.18393398448824883,0,77.29125,0.15237974748015404,-4.783934926283684
v3_beta_low,beta_low,fresh_ulong_100,LPIPS,1,97.08375,0.23517868178896606,2,134.1825,0.22112212725915015,-38.21314071613428
v3_beta_low,beta_low,fresh_ulong_100,DISTS,1,97.08375,0.16708288341760635,0,77.29125,0.15237974748015404,20.387036965506578
v3_beta_low,beta_low,fresh_ulong_100,LPIPS,2,125.235,0.21910962066613138,3,176.5275,0.2053173405583948,-40.957000838423774
v3_beta_low,beta_low,fresh_ulong_100,DISTS,2,125.235,0.14763030409812927,1,102.01125,0.13557828404009342,18.544137022397887
v3_beta_low,beta_low,fresh_ulong_100,DISTS,3,163.56375,0.1403906336054206,1,102.01125,0.13557828404009342,37.63211591810533
v3_beta_low,beta_low,fresh_ulong_101,LPIPS,0,105.28875,0.12546950369141996,0,114.765,0.12375683442223817,-9.000249314385457
v3_beta_low,beta_low,fresh_ulong_101,DISTS,0,105.28875,0.13318665511906147,0,114.765,0.12036233860999346,-9.000249314385457
v3_beta_low,beta_low,fresh_ulong_101,LPIPS,1,150.24375,0.11357707297429442,1,160.88625,0.11200100427959114,-7.083489329838999
v3_beta_low,beta_low,fresh_ulong_101,DISTS,1,150.24375,0.12262323405593634,0,114.765,0.12036233860999346,23.614127043554223
v3_beta_low,beta_low,fresh_ulong_101,LPIPS,2,212.21625,0.10194158449303359,2,227.27625,0.09935128246434033,-7.096534784683084
v3_beta_low,beta_low,fresh_ulong_101,DISTS,2,212.21625,0.11337796784937382,1,160.88625,0.11058843228965998,24.187591666519413
v3_beta_low,beta_low,fresh_ulong_101,LPIPS,3,295.33875,0.09194315492641181,3,312.885,0.09014759166166186,-5.941059207435528
v3_beta_low,beta_low,fresh_ulong_101,DISTS,3,295.33875,0.10636680107563734,2,227.27625,0.10357451811432838,23.045570552458827
v3_beta_low,beta_low,fresh_ulong_102,LPIPS,0,67.05375,0.2568240512628108,1,91.545,0.23522729356773198,-36.52480286337454
v3_beta_low,beta_low,fresh_ulong_102,DISTS,0,67.05375,0.13132139295339584,0,70.335,0.12870446871966124,-4.893462334321352
v3_beta_low,beta_low,fresh_ulong_102,LPIPS,1,87.64875,0.23007198981940746,2,116.86125,0.21893164864741266,-33.329054892397195
v3_beta_low,beta_low,fresh_ulong_102,DISTS,1,87.64875,0.11990516632795334,1,91.545,0.1102999858558178,-4.445300132631669
v3_beta_low,beta_low,fresh_ulong_102,LPIPS,2,111.0225,0.2151296129450202,3,151.26,0.20315523818135262,-36.242653516179146
v3_beta_low,beta_low,fresh_ulong_102,DISTS,2,111.0225,0.11622951924800873,1,91.545,0.1102999858558178,17.543741133554004
v3_beta_low,beta_low,fresh_ulong_102,DISTS,3,143.5575,0.11137138027697802,1,91.545,0.1102999858558178,36.23112690037094
v3_beta_low,beta_low,fresh_ulong_103,LPIPS,0,153.18375,0.09527879161760211,0,158.73375,0.09273759601637721,-3.6230997086831973
v3_beta_low,beta_low,fresh_ulong_103,DISTS,0,153.18375,0.09701330587267876,0,158.73375,0.08844269998371601,-3.6230997086831973
v3_beta_low,beta_low,fresh_ulong_103,LPIPS,1,191.20875,0.08486978558357805,1,198.04875,0.08210330724250525,-3.577242150267712
v3_beta_low,beta_low,fresh_ulong_103,DISTS,1,191.20875,0.08508140314370394,1,198.04875,0.07763765007257462,-3.577242150267712
v3_beta_low,beta_low,fresh_ulong_103,LPIPS,2,240.6675,0.07638444734038785,2,250.32375,0.07293866766849533,-4.012278350836729
v3_beta_low,beta_low,fresh_ulong_103,DISTS,2,240.6675,0.07847941759973764,1,198.04875,0.07763765007257462,17.708560565926014
v3_beta_low,beta_low,fresh_ulong_103,LPIPS,3,302.025,0.06921418767888099,3,312.96,0.06622234813403338,-3.620561211820217
v3_beta_low,beta_low,fresh_ulong_103,DISTS,3,302.025,0.07364238239824772,2,250.32375,0.07128428481519222,17.118202135584802
v3_beta_low,beta_low,fresh_ulong_104,LPIPS,0,96.57,0.14577984577044845,0,100.48125,0.1447322400053963,-4.050170860515689
v3_beta_low,beta_low,fresh_ulong_104,DISTS,0,96.57,0.1096970560029149,0,100.48125,0.10633845627307892,-4.050170860515689
v3_beta_low,beta_low,fresh_ulong_104,LPIPS,1,124.40625,0.12665107345674187,1,130.92375,0.12345907941926271,-5.238884702336111
v3_beta_low,beta_low,fresh_ulong_104,DISTS,1,124.40625,0.10447901673614979,1,130.92375,0.09796843212097883,-5.238884702336111
v3_beta_low,beta_low,fresh_ulong_104,LPIPS,2,157.54125,0.11385655752383173,2,166.99875,0.11080573627259582,-6.003189640808371
v3_beta_low,beta_low,fresh_ulong_104,DISTS,2,157.54125,0.09919904824346304,1,130.92375,0.09796843212097883,16.895574968460625
v3_beta_low,beta_low,fresh_ulong_104,LPIPS,3,202.33125,0.10269750154111534,3,215.6925,0.0998431701445952,-6.603651190807147
v3_beta_low,beta_low,fresh_ulong_104,DISTS,3,202.33125,0.09271475579589605,2,166.99875,0.0920591913163662,17.462700398480223
