candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,metric_difference,rate_saving_percent
v3_beta_low,original,fresh_ulong_01,LPIPS,2,239.97002997002997,0.11544713017065078,2,224.16833166833166,0.10965604288503528,-0.005791087285615504,6.584863244660921
v3_beta_low,original,fresh_ulong_01,DISTS,2,239.97002997002997,0.0836072014644742,0,148.6476023976024,0.0887825321406126,0.005175330676138401,38.055763706756586
v3_beta_low,original,fresh_ulong_01,LPIPS,3,295.9015984015984,0.10236039548180997,3,279.5866633366633,0.09585526760201901,-0.006505127879790962,5.513635327779609
v3_beta_low,original,fresh_ulong_01,DISTS,3,295.9015984015984,0.07474138494580984,2,224.16833166833166,0.07360018044710159,-0.0011412044987082481,24.24227078216393
v3_beta_low,original,fresh_ulong_10,LPIPS,0,103.50899100899102,0.08790032682009041,0,100.84915084915085,0.08550745411776006,-0.002392872702330351,2.569670647846556
v3_beta_low,original,fresh_ulong_10,DISTS,0,103.50899100899102,0.08626880310475826,0,100.84915084915085,0.08486776053905487,-0.001401042565703392,2.569670647846556
v3_beta_low,original,fresh_ulong_10,LPIPS,1,132.28771228771228,0.07801714935339987,1,129.10714285714286,0.07688576146028936,-0.0011313878931105137,2.40428183053919
v3_beta_low,original,fresh_ulong_10,DISTS,1,132.28771228771228,0.07741482742130756,1,129.10714285714286,0.0775830140337348,0.00016818661242723465,2.40428183053919
v3_beta_low,original,fresh_ulong_10,LPIPS,2,170.96403596403596,0.07108415098628029,2,163.0631868131868,0.0694654209073633,-0.0016187300789169967,4.621351564554299
v3_beta_low,original,fresh_ulong_10,DISTS,2,170.96403596403596,0.07177437469363213,2,163.0631868131868,0.07114601507782936,-0.0006283596158027649,4.621351564554299
v3_beta_low,original,fresh_ulong_10,LPIPS,3,226.52472527472526,0.06322736787842587,3,211.09015984015986,0.06362550013000146,0.0003981322515755892,6.813633882944403
v3_beta_low,original,fresh_ulong_10,DISTS,3,226.52472527472526,0.06645642593502998,3,211.09015984015986,0.06739575881510973,0.0009393328800797462,6.813633882944403
v3_beta_low,original,fresh_ulong_100,LPIPS,0,79.3425,0.29269819892942905,0,77.29125,0.26146513083949685,-0.031233068089932203,2.585310520843176
v3_beta_low,original,fresh_ulong_100,DISTS,0,79.3425,0.16495357640087605,0,77.29125,0.15237974748015404,-0.012573828920722008,2.585310520843176
v3_beta_low,original,fresh_ulong_100,LPIPS,1,104.03625,0.2718278067186475,0,77.29125,0.26146513083949685,-0.010362675879150629,25.707385646829827
v3_beta_low,original,fresh_ulong_100,DISTS,1,104.03625,0.14852433372288942,0,77.29125,0.15237974748015404,0.003855413757264614,25.707385646829827
v3_beta_low,original,fresh_ulong_100,LPIPS,2,135.69375,0.2521602513734251,0,77.29125,0.26146513083949685,0.009304879466071725,43.03993367417438
v3_beta_low,original,fresh_ulong_100,DISTS,2,135.69375,0.1400949666276574,1,102.01125,0.13557828404009342,-0.0045166825875639915,24.822440237667532
v3_beta_low,original,fresh_ulong_100,LPIPS,3,178.53375,0.24006535904482007,1,102.01125,0.23583866865374148,-0.004226690391078591,42.86164380684324
v3_beta_low,original,fresh_ulong_100,DISTS,3,178.53375,0.12822777964174747,2,134.1825,0.12243397161364555,-0.005793808028101921,24.84194164968808
v3_beta_low,original,fresh_ulong_101,LPIPS,0,130.61625,0.14503708214033395,0,114.765,0.12375683442223817,-0.02128024771809578,12.13574115012489
v3_beta_low,original,fresh_ulong_101,DISTS,0,130.61625,0.14316138438880444,0,114.765,0.12036233860999346,-0.022799045778810978,12.13574115012489
v3_beta_low,original,fresh_ulong_101,LPIPS,1,187.965,0.12968529714271426,0,114.765,0.12375683442223817,-0.005928462720476091,38.94342031761232
v3_beta_low,original,fresh_ulong_101,DISTS,1,187.965,0.13265275675803423,0,114.765,0.12036233860999346,-0.012290418148040771,38.94342031761232
v3_beta_low,original,fresh_ulong_101,LPIPS,2,268.7025,0.11332689819391817,1,160.88625,0.11200100427959114,-0.0013258939143270254,40.12476623775365
v3_beta_low,original,fresh_ulong_101,DISTS,2,268.7025,0.12257856503129005,0,114.765,0.12036233860999346,-0.0022162264212965965,57.28919529963434
v3_beta_low,original,fresh_ulong_101,LPIPS,3,370.47,0.10008981416467577,2,227.27625,0.09935128246434033,-0.000738531700335443,38.65191513482873
v3_beta_low,original,fresh_ulong_101,DISTS,3,370.47,0.11417116690427065,1,160.88625,0.11058843228965998,-0.003582734614610672,56.57239452587255
v3_beta_low,original,fresh_ulong_102,LPIPS,0,71.71875,0.2845525681041181,0,70.335,0.25839518452994525,-0.026157383574172854,1.9294117647058906
v3_beta_low,original,fresh_ulong_102,DISTS,0,71.71875,0.15179892908781767,0,70.335,0.12870446871966124,-0.023094460368156433,1.9294117647058906
v3_beta_low,original,fresh_ulong_102,LPIPS,1,93.0825,0.26449672039598227,0,70.335,0.25839518452994525,-0.006101535866037011,24.43799854967368
v3_beta_low,original,fresh_ulong_102,DISTS,1,93.0825,0.132149588316679,0,70.335,0.12870446871966124,-0.003445119597017765,24.43799854967368
v3_beta_low,original,fresh_ulong_102,LPIPS,2,120.00375,0.2455117697827518,1,91.545,0.23522729356773198,-0.010284476215019822,23.714883909877816
v3_beta_low,original,fresh_ulong_102,DISTS,2,120.00375,0.12347044423222542,0,70.335,0.12870446871966124,0.005234024487435818,41.38933158338802
