dataset,video,qp,branch,actual_bytes,actual_bits,PSNR,LPIPS,DISTS,is_baseline,is_budget_feasible,is_selected,iteration,restart,lambda_or_beta
uvg,Bosphorus,3,compression_aware,55845,446760,30.31903689673448,0.18906597653403878,0.14872658625245094,False,False,False,20,0,10.0
uvg,Bosphorus,3,generator_aware,51949,415592,31.472206806681417,0.12848799442872405,0.1171071631833911,False,True,True,0,0,baseline_init
uvg,Bosphorus,3,generator_aware,558790,4470320,33.928550007333605,0.1144002906512469,0.1303802877664566,False,False,False,20,0,0.0
uvg,Bosphorus,3,generator_aware,187439,1499512,34.9509848071131,0.10952764993999153,0.11638493929058313,False,False,False,20,0,0.1
uvg,Bosphorus,3,generator_aware,119154,953232,34.93907615667531,0.11795579607132822,0.11996568832546473,False,False,False,20,0,0.3
uvg,Bosphorus,3,generator_aware,83219,665752,34.116814894833766,0.13113056926522404,0.1275972481817007,False,False,False,20,0,1.0
uvg,Bosphorus,3,generator_aware,61077,488616,31.975557257431237,0.16494451905600727,0.1397670553997159,False,False,False,20,0,10.0
uvg,HoneyBee,1,baseline,28168,225344,29.7708103550545,0.15386110451072454,0.12848099041730165,True,True,True,0,0,
uvg,HoneyBee,1,compression_aware,811888,6495104,26.286470737556453,0.2972380695864558,0.19384893123060465,False,False,False,20,0,0.0
uvg,HoneyBee,1,compression_aware,104223,833784,28.017065234892023,0.19821538752876222,0.14175596926361322,False,False,False,20,0,0.1
uvg,HoneyBee,1,compression_aware,50197,401576,28.04245171741676,0.21025244728662074,0.14604319166392088,False,False,False,20,0,0.3
uvg,HoneyBee,1,compression_aware,43253,346024,28.22756642213192,0.21464946493506432,0.15594146214425564,False,False,False,20,0,1.0
uvg,HoneyBee,1,compression_aware,44274,354192,28.29643364732567,0.22011351003311574,0.16046064905822277,False,False,False,20,0,10.0
uvg,HoneyBee,1,generator_aware,520733,4165864,30.365981467584202,0.1857459561433643,0.14670966286212206,False,False,False,20,0,0.0
uvg,HoneyBee,1,generator_aware,178375,1427000,32.17359540194458,0.13943287613801658,0.12807904835790396,False,False,False,20,0,0.1
uvg,HoneyBee,1,generator_aware,110992,887936,32.09708775461573,0.14151988690719008,0.12332415580749512,False,False,False,20,0,0.3
uvg,HoneyBee,1,generator_aware,53583,428664,31.278767595929978,0.15493766614235938,0.1316294251009822,False,False,False,20,0,1.0
uvg,HoneyBee,1,generator_aware,46466,371728,29.509862824327374,0.1973001838196069,0.15202884282916784,False,False,False,20,0,10.0
uvg,HoneyBee,3,baseline,44679,357432,30.635786704063676,0.1192838343558833,0.11505281273275614,True,True,True,0,0,
uvg,HoneyBee,3,compression_aware,44679,357432,30.635786704063676,0.1192838343558833,0.11505281273275614,False,True,True,0,0,baseline_init
uvg,HoneyBee,3,compression_aware,1017789,8142312,28.316685817484185,0.22623289818875492,0.16759723518043756,False,False,False,20,0,0.0
uvg,HoneyBee,3,compression_aware,143667,1149336,28.69174139936283,0.14700396521948278,0.1146513856947422,False,False,False,20,0,0.1
uvg,HoneyBee,3,compression_aware,72466,579728,28.918166416458163,0.1571373816113919,0.12906120624393225,False,False,False,20,0,0.3
uvg,HoneyBee,3,compression_aware,55835,446680,29.082186619304924,0.1652651133481413,0.13583243545144796,False,False,False,20,0,1.0
uvg,HoneyBee,3,compression_aware,53644,429152,29.26094329483164,0.16684931656345725,0.14331162441521883,False,False,False,20,0,10.0
uvg,HoneyBee,3,generator_aware,44679,357432,30.635786704063676,0.1192838343558833,0.11505281273275614,False,True,True,0,0,baseline_init
uvg,HoneyBee,3,generator_aware,614391,4915128,32.3403912397198,0.13288014731369913,0.12471871729940176,False,False,False,20,0,0.0
uvg,HoneyBee,3,generator_aware,215040,1720320,33.811251901117416,0.10199141746852547,0.11113898921757936,False,False,False,20,0,0.1
uvg,HoneyBee,3,generator_aware,126187,1009496,33.98993404857927,0.0974685032851994,0.10708690248429775,False,False,False,20,0,0.3
uvg,HoneyBee,3,generator_aware,84588,676704,33.07932197329298,0.11348445003386587,0.11710121296346188,False,False,False,20,0,1.0
uvg,HoneyBee,3,generator_aware,60221,481768,30.822091468608427,0.14904092950746417,0.13360858894884586,False,False,False,20,0,10.0
