dataset,video,qp,branch,beta,bitstream,bitstream_sha256,bytes,symbol_equal,decoded_latent_max_abs_diff,reconstruction_max_abs_diff,decode_status
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta10.bin,e6d2c11ac9cc8d0913432bb3713caa91f3d22f5565d09f485fa2c3a297a46c22,58366,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_generator_aware_beta0.bin,3745fc58595647637ad04867574ffefe4757e8e9e69eb305633ec08a19c9c9c7,528686,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_generator_aware_beta0.1.bin,32a07ecbf18ba9f333b264885846f807d70f71a1d8e27bb04546cdee266947d9,174267,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_generator_aware_beta0.3.bin,95821ba33fb5558b986244d9614eb25546da5ec2ec3f5dc909debcde069d0d0d,115589,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_generator_aware_beta1.bin,be727e45c64fd6693a658637ead7b3b2ef7e2102ad384965898eb61ca111087c,80369,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_generator_aware_beta10.bin,52a06471b89a94a7aa7c1020b4b3a3b2eafcfca3afb25ef025a735803a100cea,62843,True,0.0,0.0,PASS
uvg,Beauty,1,compression_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_compression_aware_beta0.bin,56e838f09e93d25a8df36d0c7919740e514bc92a72bb62ffe89a5e8fd3d247c9,506623,True,0.0,0.0,PASS
uvg,Beauty,1,compression_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_compression_aware_beta0.1.bin,f6496ea3101168f1f1c01a0a39afbdb80895ac48c4e5c0a1966ea3a0424db9bd,69890,True,0.0,0.0,PASS
uvg,Beauty,1,compression_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_compression_aware_beta0.3.bin,202675dec9b00b418111c4f3be2adb6327072222bab9898606b294136d591961,28698,True,0.0,0.0,PASS
uvg,Beauty,1,compression_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_compression_aware_beta1.bin,1efe7cf1aebfe0d512794f73adcf68c536350ce74f45af68557e791d7ee97288,25741,True,0.0,0.0,PASS
uvg,Beauty,1,compression_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_compression_aware_beta10.bin,18c1fe665e819de5025bab860e196d23c9b3cc87541f18ed0ec187fa74e1697c,29194,True,0.0,0.0,PASS
uvg,Beauty,1,generator_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_generator_aware_beta0.bin,bcd3a4f8d26a2d2397aecc2b8ac6f46829032850751452c5a7a8bb51b1ef7924,527468,True,0.0,0.0,PASS
uvg,Beauty,1,generator_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_generator_aware_beta0.1.bin,39ac4ef8b33f07144b154b52335edb739efb273fb12244e5a5595c87ee9c66c2,121314,True,0.0,0.0,PASS
