method,video_tag,qp,path,sha256,bytes,status
v3_beta_low,fresh_ulong_103,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_103/v3_beta_low_qp1.bin,fd69cbc7b8c77d4bd25357fdf3b09f22ef3954a919c9d7f153473eb2dfb57912,52813,PASS
v3_beta_low,fresh_ulong_103,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_103/v3_beta_low_qp2.bin,73d484fd2d370e4cdc6d595bf6ec8cb41440404e6b0abb1ce9b05ee2031041a1,66753,PASS
v3_beta_low,fresh_ulong_103,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_103/v3_beta_low_qp3.bin,58dd8a026d1e21a7a6ab6d8a9e1c2af4618c0f2c24cca26dfb5b0b55ade65e7e,83456,PASS
original,fresh_ulong_104,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/original_qp0.bin,276013737a6cae11ac9c176beeace597014addf91abe53d15bbe28e5bb43c3e1,28386,PASS
original,fresh_ulong_104,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/original_qp1.bin,01b3873a59ea1c8152d8a50c9f2ef2faa1ae337843ab99e0db33afae86feb531,37307,PASS
original,fresh_ulong_104,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/original_qp2.bin,670ced44df46fa62d4e8771ad933ff5adb8c8e078151d98d607e0a82e1770db5,48685,PASS
original,fresh_ulong_104,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/original_qp3.bin,51c7c5d5f33dc65316d135ee260e0d350da931eba0116fbd3eedbf4faba2ad2f,63921,PASS
beta_low,fresh_ulong_104,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/beta_low_qp0.bin,597ea7539eacf761acc3d4d96743593edee8b21d88a272e27dc766c1c08a18e1,25752,PASS
beta_low,fresh_ulong_104,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/beta_low_qp1.bin,39a89d5a403f8e31c022caa96842a05f7a9b36abd2805be87e8db34e3006cadf,33175,PASS
beta_low,fresh_ulong_104,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/beta_low_qp2.bin,0e853bc7fb60fbd69dd465e2bfba0caf9d166d15e835c50602aa41f935c328ff,42011,PASS
beta_low,fresh_ulong_104,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_104/beta_low_qp3.bin,b559a00a202644f16404bda816b21b57d21c2761e75901a00283cd976b9416b0,53955,PASS
v3_beta_low,fresh_ulong_104,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_104/v3_beta_low_qp0.bin,7f413f1ff16dcf37864d5e149a0cc9b5aa484c0e9a26574471598f7ba2a7c2cf,26795,PASS
