dataset,video,video_id,kind,parameter,bitstream_path,recorded_bytes,filesystem_bytes,bitstream_sha256,real_rans,independent_decode_status
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_0p0.bin,40239,40239,9ba50aaf24e0fc1dc4a78f3b76bb4e348630e505ac3f2e6f0d10089e943f60bb,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,0.01,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_0p01.bin,40994,40994,796a9cdbd1c317761af00e6a92cdd39016b22c47a9a1a71d5914a0c1bede565b,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,0.03,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_0p03.bin,40164,40164,b1ca9cfc71b4b1c7666659361fb0971f3b35a69c093ae69c4585b16a4f44fdc5,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_0p1.bin,40309,40309,9fe95c0651e3dc43dc77480e4a7211ffeb394d88602a4d430b792cbafe68ba0e,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_0p3.bin,39732,39732,2e34a4fd035b686b03506ad1ad0255721d43b1ce7cb2f8701e61a9b3c524ccec,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_1p0.bin,38391,38391,25ed71b0f45e05f72bcc2c0df99ce7b8d4ce9d5e4a4d13dc80dd1c78a378944d,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,3.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_3p0.bin,35663,35663,da0d9fcff756e5d89a5f6945294f299c9107afa6c03750db3af3a2e3675fe1d3,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_10p0.bin,29476,29476,e71dc5e53004b17f21b33421c8f9572b95a7ddea45b3025a0f03139d024529d8,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_30p0.bin,22338,22338,6cb937c0069741a1d25eb1978365ef1eadc7e7bebce35d6880e180573695276a,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,100.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_100p0.bin,17195,17195,df9b57d5be02725995d808394ccbc0fe84809bd0b7bd4be0f63116fe3fcbfef1,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,300.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_300p0.bin,14555,14555,742bfe85e197bdd410fad09afac4407bfc58a3c9e125ac9d102af70643b8814b,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,oracle,1000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_oracle_1000p0.bin,13116,13116,4fa79edf43273542f13662106da4c2b5be5c4b6d4d14bf897bb58be6b96048d1,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,0.5,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_0p5.bin,13012,13012,c6a7662119251682416d41404b723f1cf0d02452490b87d5bf522dbc38f19ee0,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_1p0.bin,12989,12989,cc07dbaba78bb87abb1a7e36ee55b00ebefc13fc36643a4c1f230f5cabaeed71,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,1.5,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_1p5.bin,12779,12779,caa945921337994810cc549ec031369b52ccf548d5b5ff60bf87eb088aaca355,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,2.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_2p0.bin,12965,12965,81909d8f1cf3f822899afd91105df9349572cb292d5f7948302759aa5999e229,True,NOT_SELECTED
