method,kind,video,scope,frames,delta,target_P_frames,duration_seconds,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,diagnostic,rate_scope,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL,cohort
train2_full_DIRECT_l3,DIRECT,ALL,IP,32,0.19452382624149323,30,1.0672,197744,5804312,185.29235382308846,5438.823088455772,5624.115442278861,0.09045343846450617,29.352657982037382,False,complete I/P sequence,25.755071363365,0.8943946366104374,0.1909760374110192,1.9938743718273533,0.05708200451745478,-0.08439972554333508,3.9197877196966213,0.06656629163692372,-0.00012088450603187084,Train2_full
train2_full_DIRECT_l4,DIRECT,ALL,TARGET_P,30,0.38904765248298645,30,1.0672,197744,1050120,185.29235382308846,983.9955022488757,1169.2878560719641,0.018805820794753087,5.310502467837203,False,complete I/P sequence,24.20667533108714,0.8530607119565979,0.25834004481633505,0.25461980630684405,0.009791028454094027,-0.018731428186098735,2.3089273773673966,0.019907601381527567,0.07116600225369135,Train2_full
train2_full_DIRECT_l4,DIRECT,ALL,P,30,0.38904765248298645,30,1.0672,197744,1050120,185.29235382308846,983.9955022488757,1169.2878560719641,0.018805820794753087,5.310502467837203,False,complete I/P sequence,24.20667533108714,0.8530607119565979,0.25834004481633505,0.25461980630684405,0.009791028454094027,-0.018731428186098735,2.3089273773673966,0.019907601381527567,0.07116600225369135,Train2_full
train2_full_DIRECT_l4,DIRECT,ALL,IP,32,0.38904765248298645,30,1.0672,197744,1050120,185.29235382308846,983.9955022488757,1169.2878560719641,0.018805820794753087,5.310502467837203,False,complete I/P sequence,23.999903059950313,0.8464917212686958,0.2578150490298867,0.23870606841266628,0.00917908917571315,-0.017560713924467564,2.1646194162819343,0.018663376295182093,0.06671812711283565,Train2_full
train2_full_DIRECT_l5,DIRECT,ALL,TARGET_P,30,0.7780953049659729,30,1.0672,197744,9184,185.29235382308846,8.60569715142429,193.89805097451276,0.0031184895833333334,0.0464438870458775,False,complete I/P sequence,23.95205051699771,0.8432698560420001,0.2770679126183192,-5.007782589198466e-06,1.7253949632367594e-07,-3.5603841145833334e-06,2.0543025632779632,0.010116745466929863,0.0898938700556755,Train2_full
train2_full_DIRECT_l5,DIRECT,ALL,P,30,0.7780953049659729,30,1.0672,197744,9184,185.29235382308846,8.60569715142429,193.89805097451276,0.0031184895833333334,0.0464438870458775,False,complete I/P sequence,23.95205051699771,0.8432698560420001,0.2770679126183192,-5.007782589198466e-06,1.7253949632367594e-07,-3.5603841145833334e-06,2.0543025632779632,0.010116745466929863,0.0898938700556755,Train2_full
train2_full_DIRECT_l5,DIRECT,ALL,IP,32,0.7780953049659729,30,1.0672,197744,9184,185.29235382308846,8.60569715142429,193.89805097451276,0.0031184895833333334,0.0464438870458775,False,complete I/P sequence,23.76119229674147,0.8373127938487603,0.27537242509424686,-4.694796177373561e-06,1.617557778034462e-07,-3.337860107421875e-06,1.9259086530730904,0.009484448875246746,0.08427550317719579,Train2_full
train2_full_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,TARGET_P,30,,30,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.898467942290427,0.8331520818361692,0.18715105652809144,-2.053587582489871,-0.010117601666335008,-0.08992041647434235,0.0007199885706815105,-1.0287389014688545e-06,-2.2986034552256265e-05,Train2_full
train2_full_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,P,30,,30,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.898467942290427,0.8331520818361692,0.18715105652809144,-2.053587582489871,-0.010117601666335008,-0.08992041647434235,0.0007199885706815105,-1.0287389014688545e-06,-2.2986034552256265e-05,Train2_full
train2_full_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,IP,32,,30,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.835958632953393,0.8278273805307934,0.19107537250965834,-1.925238358584254,-0.00948525156218907,-0.08430039044469595,0.0006749892850139161,-9.644427201270511e-07,-2.154940739274025e-05,Train2_full
