cohort,video,method,kind,delta,base_bits,actual_enhancement_bits,budget_fraction,budget_bits,actual_fraction,actual_minus_budget_bits,within_budget,IP_PSNR_gain_vs_ZERO_D,IP_LPIPS_gain_vs_ZERO_D
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l0,LEARNED,1.1303311586380005,92960,72832,0.25,23240.0,0.7834767641996557,49592.0,False,0.11020176229332601,-0.012119811028242111
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l0,LEARNED,1.1303311586380005,92960,72832,0.5,46480.0,0.7834767641996557,26352.0,False,0.11020176229332601,-0.012119811028242111
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l0,LEARNED,1.1303311586380005,104784,49712,0.1,10478.400000000001,0.4744235761184914,39233.6,False,0.1577588899653588,-0.008579129353165627
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l0,LEARNED,1.1303311586380005,104784,49712,0.25,26196.0,0.4744235761184914,23516.0,False,0.1577588899653588,-0.008579129353165627
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l0,LEARNED,1.1303311586380005,104784,49712,0.5,52392.0,0.4744235761184914,-2680.0,True,0.1577588899653588,-0.008579129353165627
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l1,LEARNED,2.260662317276001,92960,61528,0.1,9296.0,0.6618760757314974,52232.0,False,0.10997654563597159,-0.012125488370656967
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l1,LEARNED,2.260662317276001,92960,61528,0.25,23240.0,0.6618760757314974,38288.0,False,0.10997654563597159,-0.012125488370656967
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l1,LEARNED,2.260662317276001,92960,61528,0.5,46480.0,0.6618760757314974,15048.0,False,0.10997654563597159,-0.012125488370656967
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l1,LEARNED,2.260662317276001,104784,37584,0.1,10478.400000000001,0.358680714612918,27105.6,False,0.1570072108952545,-0.008532468229532242
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l1,LEARNED,2.260662317276001,104784,37584,0.25,26196.0,0.358680714612918,11388.0,False,0.1570072108952545,-0.008532468229532242
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l1,LEARNED,2.260662317276001,104784,37584,0.5,52392.0,0.358680714612918,-14808.0,True,0.1570072108952545,-0.008532468229532242
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l2,LEARNED,4.521324634552002,92960,49552,0.1,9296.0,0.5330464716006885,40256.0,False,0.10913270054988367,-0.01210392452776432
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l2,LEARNED,4.521324634552002,92960,49552,0.25,23240.0,0.5330464716006885,26312.0,False,0.10913270054988367,-0.01210392452776432
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l2,LEARNED,4.521324634552002,92960,49552,0.5,46480.0,0.5330464716006885,3072.0,False,0.10913270054988367,-0.01210392452776432
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l2,LEARNED,4.521324634552002,104784,26032,0.1,10478.400000000001,0.24843487555351962,15553.599999999999,False,0.15427194679320855,-0.008489353582262993
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l2,LEARNED,4.521324634552002,104784,26032,0.25,26196.0,0.24843487555351962,-164.0,True,0.15427194679320855,-0.008489353582262993
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l2,LEARNED,4.521324634552002,104784,26032,0.5,52392.0,0.24843487555351962,-26360.0,True,0.15427194679320855,-0.008489353582262993
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l3,LEARNED,9.042649269104004,92960,37232,0.1,9296.0,0.40051635111876077,27936.0,False,0.10575520835806151,-0.011912496760487556
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l3,LEARNED,9.042649269104004,92960,37232,0.25,23240.0,0.40051635111876077,13992.0,False,0.10575520835806151,-0.011912496760487556
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l3,LEARNED,9.042649269104004,92960,37232,0.5,46480.0,0.40051635111876077,-9248.0,True,0.10575520835806151,-0.011912496760487556
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l3,LEARNED,9.042649269104004,104784,15192,0.1,10478.400000000001,0.1449839670178653,4713.5999999999985,False,0.1435220809800355,-0.008218454197049141
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l3,LEARNED,9.042649269104004,104784,15192,0.25,26196.0,0.1449839670178653,-11004.0,True,0.1435220809800355,-0.008218454197049141
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_CODED_l3,LEARNED,9.042649269104004,104784,15192,0.5,52392.0,0.1449839670178653,-37200.0,True,0.1435220809800355,-0.008218454197049141
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_DIRECT_l0,DIRECT,0.024315478280186653,92960,1920376,0.1,9296.0,20.658089500860584,1911080.0,False,0.3097634254873045,-0.01979621686041355
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_DIRECT_l0,DIRECT,0.024315478280186653,92960,1920376,0.25,23240.0,20.658089500860584,1897136.0,False,0.3097634254873045,-0.01979621686041355
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_DIRECT_l0,DIRECT,0.024315478280186653,92960,1920376,0.5,46480.0,20.658089500860584,1873896.0,False,0.3097634254873045,-0.01979621686041355
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_DIRECT_l0,DIRECT,0.024315478280186653,104784,1675016,0.1,10478.400000000001,15.985417621010841,1664537.6,False,0.6480003424529757,-0.016892950981855392
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_DIRECT_l0,DIRECT,0.024315478280186653,104784,1675016,0.25,26196.0,15.985417621010841,1648820.0,False,0.6480003424529757,-0.016892950981855392
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_DIRECT_l0,DIRECT,0.024315478280186653,104784,1675016,0.5,52392.0,15.985417621010841,1622624.0,False,0.6480003424529757,-0.016892950981855392
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_DIRECT_l1,DIRECT,0.048630956560373306,92960,1480944,0.1,9296.0,15.930981067125645,1471648.0,False,0.30738286890576116,-0.019647041335701942
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_DIRECT_l1,DIRECT,0.048630956560373306,92960,1480944,0.25,23240.0,15.930981067125645,1457704.0,False,0.30738286890576116,-0.019647041335701942
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_DIRECT_l1,DIRECT,0.048630956560373306,92960,1480944,0.5,46480.0,15.930981067125645,1434464.0,False,0.30738286890576116,-0.019647041335701942
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_DIRECT_l1,DIRECT,0.048630956560373306,104784,1240632,0.1,10478.400000000001,11.839899221255154,1230153.6,False,0.6432220457663382,-0.016818596981465816
Train6_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_DIRECT_l1,DIRECT,0.048630956560373306,104784,1240632,0.25,26196.0,11.839899221255154,1214436.0,False,0.6432220457663382,-0.016818596981465816
