cohort,method,video,residual_analysis_seconds,actual_entropy_encode_seconds,note,receiver_entropy_decode_seconds,receiver_base_decode_seconds,receiver_synthesis_seconds,receiver_peak_allocated_bytes,optimization_time_excluded_from_this_table
Val6,val6_CODED_l0,66d34721-a96d-4a92-9042-0847e057f3ba,0.032347142696380615,0.14488327503204346,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.18650522828102112,3.218355432152748,1.606295995414257,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l0,b3d4cebf-21ab-41e1-b79a-729d35794681,0.03290568292140961,0.14403926581144333,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.18669959157705307,3.50715758651495,1.6696840673685074,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l1,026aa77c-d036-41b7-a998-83c1911fe2bf,0.033362939953804016,0.11615286767482758,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.15914286673069,3.3864802196621895,1.6499671563506126,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l1,2996c286-14c5-4157-95ba-f2a73fae0187,0.036705464124679565,0.17728837579488754,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.18987830728292465,3.186347149312496,1.5421988666057587,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l1,30884276-8cb2-485e-b0ca-a22605c1801f,0.03138674050569534,0.13216069340705872,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.17853716015815735,3.5411617755889893,1.644557699561119,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l1,46da3cc3-6beb-425c-a870-c8d7bae89311,0.03238286077976227,0.13073527067899704,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.1886771023273468,3.0898267179727554,1.6070538386702538,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l1,66d34721-a96d-4a92-9042-0847e057f3ba,0.032050542533397675,0.11734918504953384,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.16255556046962738,3.4502389281988144,1.6628142297267914,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l1,b3d4cebf-21ab-41e1-b79a-729d35794681,0.03203395754098892,0.12183257192373276,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.17299465090036392,3.4831283539533615,1.660231925547123,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l2,026aa77c-d036-41b7-a998-83c1911fe2bf,0.033017732203006744,0.10106395930051804,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.13009722530841827,3.2413368448615074,1.5364497750997543,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l2,2996c286-14c5-4157-95ba-f2a73fae0187,0.031634971499443054,0.13110332190990448,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.16293295472860336,3.209520012140274,1.596941702067852,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l2,30884276-8cb2-485e-b0ca-a22605c1801f,0.03178656846284866,0.10856278240680695,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.13600387424230576,3.017382577061653,1.519648738205433,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l2,46da3cc3-6beb-425c-a870-c8d7bae89311,0.033262960612773895,0.11205670237541199,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.1477249190211296,3.298529013991356,1.5487092584371567,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
