dataset,video,qp,granularity,frame,trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,rate_ratio,cumulative_pixel_SSE,aggregate_MSE,beam_rank,bitstream_hash,DPB_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T89,14334,14511,0.9878023568327475,212658.47136315674,0.006837013611212601,1,02c27611127f89d837631dd429ab2b9b054f225489e608ba3a4b80a8aef74772,f3c2109c9fa96544af4a9ead471345b53b8887482f196918c92692ab9c7c86cc
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T95,14494,14511,0.9988284749500379,210366.4620515765,0.006763325040238442,2,42532173d531e2639fa9ad28d5a53cedfd1e6c85fa6f30776881a29a8009779c,c7af335e57f4b9a5f1892ae3e233c59a9315bc23cc979a48f5406577ce309cc4
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T104,14437,14511,0.9949004203707532,211668.084575004,0.006805172472190201,3,94b5d3ea07e4c736cc63e827b578db2552f8ed77f522a00e2491fb30f55168bb,20be6a6c7fd2ca570ed402d83d5e2c36d232958d50b06a1e05b3e2eb02334b31
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T85,14550,14511,1.0026876162910896,209829.75496190955,0.006746069796872092,4,efe861e225c20ce7d5ce59f56d1db7312f7086b1944fd5a767230d58e94c7eed,f70c1541cacd460827369c07fe10c8835b7adbd3fa72cb3cc3dc92484369a1ca
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T98,14514,14511,1.0002067397146992,209856.0086592089,0.006746913858642261,5,92a4818adb4436a65d734355f92275a6f0e727cd3b517546c45ce6248fe99a75,a3bcd2d3f19412218d5a628110b2ab9b42901fc1bb1fd5a8162da3db49aa834e
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T107,14437,14511,0.9949004203707532,211668.084575004,0.006805172472190201,6,942741aa3bc36c31491678121c0fe98b64b9f02673b28973be519a9ab3cc1cf2,20be6a6c7fd2ca570ed402d83d5e2c36d232958d50b06a1e05b3e2eb02334b31
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T110,14401,14511,0.9924195437943629,211845.10113186485,0.006810863590916437,7,a9546432f86ed544564bcd3c340da27a7974ac454783378fbb98f34d4a268acb,6da3534e52e2c2b42e8487c57df1e8fbe56e57260adedf716a25042cfd5729a9
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T113,14278,14511,0.9839432154916959,214088.98459828156,0.006883004906066151,8,1a3d99b1d5d0ac47a08802ff9646887f854977c54a075c25e7e46638f3cb5049,119138c9dc87915498a6a3b6cbcc19077d5eb3b473ac564ad97365634fb5cbab
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T126,14604,14511,1.006408931155675,209832.46604254405,0.006746156958672327,9,45de885402c9793df61834b1fa9e6ea3c8a5f445e595bcb2a6454b61caa11c47,4d4ad1ab1dfb8755475035b09c6190752a3f932b0c21b6ab9beb190739155f0b
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T125,14560,14511,1.0033767486734202,209834.8249931534,0.006746232799419798,10,62dbf82bba6c1176322cf36950b279e8fd077585a514f932ba3aff4c4b21f1da,70c8ba01e0501a271f565d34e852f6e56c64caab9b69a5538386284336c93c16
