dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,16,MIX_L0,40,28,0,12,0,1201,28637.3919801273,0.004603490233421326,23.369127748627953,0.24670052528381348,0.08411478996276855
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,16,MIX_L0.01,40,36,4,0,0,1195,28637.3919801273,0.004603490233421326,23.369127748627953,0.24670052528381348,0.08411478996276855
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,17,FULL_000,40,40,0,0,0,2005,24280.134161529,0.003903056262061,24.085951567766802,0.22810466587543488,0.07780414819717407
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,17,MIX_L0,40,36,0,4,0,2054,24280.134161529,0.003903056262061,24.085951567766802,0.22810466587543488,0.07780414819717407
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,18,FULL_000,40,40,0,0,0,911,22848.593871811856,0.0036729348357766867,24.349867606532356,0.22655797004699707,0.08060896396636963
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,18,MIX_L0,40,25,0,15,0,963,22848.593871811856,0.0036729348357766867,24.349867606532356,0.22655797004699707,0.08060896396636963
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,19,FULL_000,40,40,0,0,0,560,23635.599087794137,0.0037994468584656715,24.202796241381314,0.23097504675388336,0.0838736891746521
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,19,MIX_L0,40,17,0,23,0,607,23633.17245749045,0.0037990566343069077,24.203242147681387,0.23101912438869476,0.08388417959213257
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,19,MIX_L0.01,40,39,1,0,0,601,23631.541191806595,0.0037987944670021534,24.20354192721271,0.23097649216651917,0.08388972282409668
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,20,FULL_000,40,40,0,0,0,1379,22655.702590724555,0.0036419271491467953,24.38668703997546,0.2357644885778427,0.09052681922912598
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,20,MIX_L0,40,33,0,7,0,1428,22655.702590724555,0.0036419271491467953,24.38668703997546,0.2357644885778427,0.09052681922912598
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,21,FULL_000,40,40,0,0,0,936,22996.104085017505,0.0036966472398489714,24.32191973227125,0.2337585985660553,0.08811134099960327
