scope,dataset,video,video_id,qp,granularity,frame,channel,tile,num_symbols,exact_match_rate,MAE,mean_squared_error,RMSE,signed_error
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,37,258048,0.9992094494047619,0.0007905505952380952,0.0007905505952380952,0.028116731588826167,-3.8752480158730157e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,38,258048,0.9996163504464286,0.00038364955357142856,0.00038364955357142856,0.01958697407900027,3.487723214285714e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,39,129024,0.9999302455357143,6.975446428571428e-05,6.975446428571428e-05,0.008351913809763262,-5.425347222222222e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,2,,,522240,0.9996898770332336,0.0003102022164966911,0.0003102022164966911,0.017612558488098517,-2.6807600079337135e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,3,,,522240,0.9997779130935669,0.0002221201139036566,0.0002221201139036566,0.014903694639372366,7.659314178454224e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,4,,,522240,0.9995921850204468,0.0004078584897797555,0.0004078584897797555,0.02019550667301406,-5.553002847591415e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,5,,,522240,0.9995826482772827,0.0004174326313659549,0.0004174326313659549,0.020431168135130084,-0.0001110600569518283
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,6,,,522240,0.9996879696846008,0.000312117044813931,0.000312117044813931,0.017666834600853967,-1.914828544613556e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,7,,,522240,0.9997606873512268,0.00023935356875881553,0.00023935356875881553,0.015471055838526843,-1.3403800039668567e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,8,,,522240,0.9999100565910339,8.9996938186232e-05,8.9996938186232e-05,0.009486671607378006,-5.7444858612143435e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,9,,,522240,0.9996305108070374,0.00036956192343495786,0.00036956192343495786,0.019223993430995494,2.106311330862809e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,10,,,522240,0.9998679161071777,0.000132123168441467,0.000132123168441467,0.011494484261656413,-4.404105493449606e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,11,,,522240,0.9999119639396667,8.808210986899212e-05,8.808210986899212e-05,0.009385206969960338,7.659314178454224e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,12,,,522240,0.999802827835083,0.00019722734577953815,0.00019722734577953815,0.014043765370424633,-1.723345667414833e-05
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,13,,,522240,0.9998277425765991,0.00017233456310350448,0.00017233456310350448,0.013127625950776647,7.659314178454224e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,14,,,522240,0.9997032880783081,0.00029679841827601194,0.00029679841827601194,0.01722783846789875,-5.7444858612143435e-06
FRAME,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,15,,,522240,0.999714732170105,0.00028530944837257266,0.00028530944837257266,0.016891105599473728,-1.723345667414833e-05
